age,gender,A_total,O_total,C_total,E_total,N_total
32,1,29,25,32,34,25
15,1,27,25,34,32,22
26,2,32,35,30,28,39
22,1,33,32,33,30,36
17,1,23,37,28,33,32
21,2,35,24,30,33,33
33,2,32,37,31,30,19
30,1,36,27,28,28,40
19,2,35,37,31,32,35
45,1,34,31,28,30,26
29,2,36,31,37,31,34
21,1,32,35,34,34,33
56,2,24,38,36,30,39
21,2,32,28,32,29,30
19,1,34,36,28,31,33
28,2,27,40,28,27,38
48,2,33,31,26,28,26
37,1,27,30,32,32,29
56,1,29,32,29,29,23
34,2,29,31,35,32,26
26,1,30,35,28,26,26
35,1,34,33,30,33,26
17,1,37,31,32,32,26
17,1,24,32,29,31,25
18,2,33,36,37,32,34
38,2,32,31,31,28,38
16,2,28,30,34,26,38
25,1,32,33,31,30,30
22,2,33,32,26,30,21
51,2,29,35,33,29,18
34,1,28,27,35,32,28
20,2,28,25,31,33,31
19,2,38,30,31,31,25
42,2,36,39,30,33,32
33,2,35,37,34,29,33
16,2,35,35,28,27,42
25,2,28,31,26,30,37
29,1,31,36,24,32,30
15,1,30,37,26,32,25
50,2,34,33,26,36,23
25,2,38,33,31,35,31
21,2,35,32,35,31,34
53,1,32,37,35,31,22
19,1,34,34,31,31,38
26,2,31,33,32,33,26
17,1,30,31,30,30,34
26,1,31,36,33,35,27
30,2,38,38,33,31,19
30,2,38,30,36,34,32
22,1,34,36,33,35,29
29,2,28,33,29,30,39
18,2,31,35,38,27,35
30,2,34,32,39,36,34
20,1,31,40,32,35,28
26,2,32,36,27,29,33
23,2,29,32,33,30,27
23,2,33,40,36,33,36
28,1,31,34,34,30,41
1994,2,34,34,29,24,38
28,2,35,29,30,30,34
29,1,33,33,38,34,26
16,2,32,35,31,30,34
16,1,33,37,28,32,39
18,1,28,32,30,35,29
36,1,34,36,34,36,24
62,1,28,30,31,32,20
27,2,34,37,32,22,37
23,1,30,34,25,34,21
16,2,27,37,35,26,21
21,1,33,33,27,31,24
37,2,31,39,31,34,33
36,2,33,30,28,34,22
22,2,35,33,30,31,30
17,1,34,35,28,33,26
15,1,34,32,25,37,35
28,2,35,37,33,30,30
22,1,30,38,30,23,42
32,2,33,30,36,34,24
15,1,29,30,33,28,27
30,2,34,35,38,33,25
18,1,35,30,30,28,31
22,1,26,38,31,33,33
18,2,30,33,35,30,30
31,2,33,34,38,35,37
14,2,29,31,31,25,37
43,1,29,38,31,32,21
16,2,31,35,30,29,42
18,2,33,34,29,28,35
14,2,33,33,34,35,38
24,2,32,24,32,29,28
22,2,33,33,34,29,38
44,2,31,34,32,29,26
32,2,32,29,32,29,33
46,1,25,28,34,27,36
21,2,34,29,38,28,33
16,2,30,27,26,29,18
34,1,38,32,33,36,29
15,2,32,36,34,30,29
20,2,27,33,26,33,36
22,2,31,27,30,34,33
22,2,33,35,34,33,22
17,2,33,36,36,38,29
24,2,34,37,28,29,35
21,2,34,34,34,34,27
31,2,29,40,30,34,41
47,1,32,34,30,34,27
59,2,32,33,34,30,33
50,2,34,28,31,30,30
21,2,27,33,30,28,26
17,2,33,30,34,27,38
18,2,26,34,31,32,30
16,2,30,37,37,30,23
58,2,29,30,27,28,24
53,1,32,32,32,36,26
18,1,33,28,29,38,27
19,2,34,29,30,27,33
18,1,31,31,34,30,32
47,2,29,29,31,27,26
22,2,34,31,38,31,28
18,2,36,31,37,34,32
18,2,30,35,29,31,27
40,2,31,36,31,30,21
21,2,33,35,33,32,36
21,1,33,37,33,34,27
18,2,31,27,31,27,34
16,1,34,34,31,25,31
16,2,32,38,35,27,40
35,2,29,29,32,30,25
21,1,28,37,29,33,21
21,2,32,34,31,27,26
16,1,34,38,34,33,30
18,1,32,36,34,34,27
50,2,31,36,28,32,20
24,2,31,35,28,31,33
20,1,30,35,33,30,35
19,1,33,32,25,30,25
18,2,28,27,28,31,35
16,1,30,35,30,24,34
19,1,30,37,27,28,26
47,2,34,36,30,36,29
